,版名,分類,作者,標題,日期,url,內容,留言,date
0,Stock,新聞,cosmite (Z),[新聞] 歐盟高官簽了 英國脫歐協議將送歐洲議會,2020-01-24 22:10:25,https://www.ptt.cc/bbs/Stock/M.1579875027.A.599.html,"<a href=""https://www.cna.com.tw/news/firstnews/202001240153.aspx"" rel=""noreferrer noopener nofollow"" target=""_blank"">https://www.cna.com.tw/news/firstnews/202001240153.aspx</a>


歐盟高官簽了 英國脫歐協議將送歐洲議會批准

（中央社布魯塞爾24日綜合外電報導）歐洲聯盟執行委員會主席范德賴恩與歐洲理事會主席
米歇爾這兩位歐盟高層官員，今天共同簽署英國與歐盟的分手協議，準備結束雙方近半世紀
的關係。

在范德賴恩（Ursula von der Leyen）與米歇爾（Charles Michel）正式簽署後，協議現將
於29日送往歐洲議會（European Parliament）批准。

歐盟成員國的外交官接著將在30日以書面方式批准協議，確保英國在31日午夜有序脫歐。

歐盟執行委員會（European Commission）主席范德賴恩推文說：「我跟米歇爾剛剛簽署英
國退出歐盟協議，為歐洲議會批准協議敞開大門。」

歐洲理事會（European Council）主席米歇爾在另一則推文中說，情況「將不可避免地改變
」，但雙方將維持友誼，並展開作為夥伴跟盟友的「新章節」。

他還用法文表示：「我很渴望一起撰寫這個新篇章。」（譯者：侯文婷/核稿：楊昭彥）


心得評論：
英國脫歐之後 對於台股會有什麼影響嗎
會不只關係到貨幣市場？

在這塊實在不了解 大家有什麼看法呢

--
<span class=""f2"">",[],1000
1,Stock,其他,ProTrader (沒有暱稱),Re: [其他] 30年投資老手真心話：只有三種人能在,2020-01-24 22:27:58,https://www.ptt.cc/bbs/Stock/M.1579876080.A.10F.html,"我覺得就算是第3種人也要有一定的知識與勇氣才敢下單常抱賺錢


我最早知道股票的事情是在我很小很小的時候  因為親戚很熱衷
細節都已經模糊了  我只記得小猶太姊姊很正我超喜歡小猶太姊姊
我長大以後取的老婆要長的像小猶太姊姊    當時對股票完全無感
如果不知道小猶太姊姊是誰  其實也不重要  這跟股票沒啥關係


多年以後我親戚大量買進當時不到20元(親戚說18以下)的玉晶光
那時候我只知道買對股票可以發大財  對於買錯股票還是沒感覺
這時期親戚大力勸說我老爸(散戶代表)跟進
我老爸買了幾張出在不到60  其他親戚也出在不到80
那一波只有那個親戚自己抱到300以上  確定不到400
親戚後來跟我說那時候他已經說到只差沒有跪下求我爸繼續買


又過了好幾年我也進入股市(技術分析)
那時候有個零沒那麼多的男人喊買AMD  這段歷史大家都清楚我就不細說了
後來AMD先漲一波到15盤整還有回跌破10

最初看到辣個男人喊AMD的時候  我也沒放在心上
那個時候產業研究對我來說是旁門左道
後來AMD漲破10元之後我被嚇到深切反省  並想起自己也是電資背景
然後好好的了解半導體產業與半導體相關個股之間的關聯性
終於我了解了甚麼是產業研究

然後我跟我親戚(這時期零也是很多)說AMD的時候  我親戚完全不放在心上
後來我繼續勸說台積電很好應該買進  我親戚還是覺得代工沒有前途
2019年初我跟我親戚聯發科可以買    我親戚依然覺得IC設計不行

2020年我親戚跟我說  台積電不行  政治風險很高
因為不去美國設廠美國價值不夠  所以美國會扶植英特爾  台積電GG


結論:1.交易股票是自己的事情  真的要自己做功課認真學習才能真正了解市場
     2.就算聽到高手說的話    如果自己不瞭解股市大多是聽不下去
     3.就算自己是高手        如果不跟隨時代進步也很難持續發大財
<span class=""f2"">※ 引述《golover ()》之銘言：
</span><span class=""f6"">: 30年投資老手真心話：只有三種人 能在股市賺到錢
</span><span class=""f6"">: 2020-01-08 07:00
</span><span class=""f6"">: 金尉出版社 郭泰
</span><span class=""f6"">: 多年來，股市裡流傳著一句話：股市只有3種人賺得到錢，第1種人是從事內線交易的人，
</span><span class=""f6"">: 第2種人是真正的股市高手，第3種人則是跟隨高手操作的人。
</span><span class=""f6"">: 先說內線交易。上市公司若須處理土地或資產、增減資本、配發股息或股票等，將影響股
</span><span class=""f6"">: 價漲跌至鉅。上述的種種行為均須召開股東大會，並經董事會依法定程序同意，再經會計
</span><span class=""f6"">: 師查核簽證後，才能公開。
</span><span class=""f6"">: 在消息未公開之前，事先獲悉內線消息的董監事、大股東與主辦人員，先行買進或放空，
</span><span class=""f6"">: 再利用投資大眾普遍熱中追逐短線價差的心理，在市場資訊不足的情況下，故意發布利多
</span><span class=""f6"">: 或利空消息，引誘投資大眾上鉤，並從中謀取不當利益，此一舉動即稱之為「內線交易」
</span><span class=""f6"">: 。
</span><span class=""f6"">: 另外，公司接獲或流失大訂單、新產品開發成功或失敗、營運出現重大轉機或虧損等，也
</span><span class=""f6"">: 都是董監事、大股東以及經理人等最先知道，所以常聽到有人嘲諷說：「千線萬線（指技
</span><span class=""f6"">: 術分析常用的移動平均線與趨勢線等）不如一條內線。」
</span><span class=""f6"">: 內線消息當然管用，內線交易必然會賺錢，但一般投資人根本無處獲知內線消息，而且從
</span><span class=""f6"">: 事內線交易乃違法行為，遭逮獲者依法除必須歸還價差利益之外，還會被課以刑責，最高
</span><span class=""f6"">: 可處2年以下有期徒刑。
</span><span class=""f6"">: 再來談談股市高手。我把股市裡面真正的高手區分為下列3個等級：
</span><span class=""f6"">: 一、初段高手
</span><span class=""f6"">: 此一等級的高手深諳道氏股價理論與艾略特波浪理論，熟知班傑明．葛拉漢（Benjamin G
</span><span class=""f6"">: raham）的價值理論，精通羅伯．愛德華（Robert D. Edwards）與約翰．麥基（JohnMage
</span><span class=""f6"">: e）的種種技術分析，熟讀過《股票作手回憶錄》（Reminiscences of a Stock Operator
</span><span class=""f6"">: ）與《傑西．李佛摩股市操盤術》（How to Trade in Stocks），他們有能力在每次的股
</span><span class=""f6"">: 價循環中逮到底部，大膽買進，而且抱牢持股賣在頭部。
</span><span class=""f6"">: 二、中段高手
</span><span class=""f6"">: 此等級的高手比初段高手還要高一級，他們非但能逮到底部大膽買進，抱牢持股賣在頭部
</span><span class=""f6"">: ，而且有能力在空頭行情中抓到B波的高點狠狠放空，多空兩頭都賺。
</span><span class=""f6"">: 三、高段高手
</span><span class=""f6"">: 此等級的高手比中段高手更高一級，乃是高手中的高手，他們有能力研判出每一個波段（
</span><span class=""f6"">: 指波浪理論8個波段的每一個波段而言）的高低點，第1波做多，第2波放空，第3波做多，
</span><span class=""f6"">: 第4波放空，第5波做多，第6波放空，第7波做多，第8波放空，聽起來像是神仙在操作。
</span><span class=""f6"">: 我沒有見過高段高手，不過據說日本江戶時代的本間宗久即屬此號人物，他乃是K線分析
</span><span class=""f6"">: 鼻祖。
</span><span class=""f6"">: 我建議投資人不用太心急，應以10年磨成好劍的毅力，立志10年之內把自己鍛鍊成初段高
</span><span class=""f6"">: 手，這就很了不起了。說來慚愧，我在台股跌跌撞撞18年之後，才勉強忝列初段高手。
</span><span class=""f6"">: 最後來談一談跟隨高手操作。對股票一知半解又想從股市賺到錢的人，這是最便捷的方法
</span><span class=""f6"">: ，但是也有下列3個問題：
</span><span class=""f6"">: 1.電視與網路自稱專家與高手的人一大堆，你很難判斷誰是真正高手，誰又是騙子。
</span><span class=""f6"">: 2.真正的高手大都不願拋頭露面，也鮮少在電視上公開解盤，他們深知招搖容易惹禍上身
</span><span class=""f6"">: ，因此投資人幾乎沒有機會接觸到這些人。
</span><span class=""f6"">: 3.就算投資人很幸運地碰到了一位股市高手，當他告訴你底部區已經來到，可以大膽分批
</span><span class=""f6"">: 買進時，由於你自己不懂，結果還是不敢依據股市高手的指示下場大筆買進。即使敢進場
</span><span class=""f6"">: 小買，也賺不到大錢。
</span><span class=""f6"">: 所以綜合以上3點，我認為最好的方法就是：苦心鑽研，把自己訓練成真正的股市高手。
</span><span class=""f6"">: <a href=""https://money.udn.com/money/story/12040/4232738"" rel=""noreferrer noopener nofollow"" target=""_blank"">https://money.udn.com/money/story/12040/4232738</a>
</span><span class=""f6"">: ……
</span><span class=""f6"">: 熟讀各種股票聖經，也只能算初段高手，股票版可以大賺的版友，一個是具有天生盤感
</span><span class=""f6"">: ，不然就是如文章所說，有真的下功夫努力的人。
</span>
--
<span class=""f2"">",[],1000
2,Stock,新聞,charles0939 (charles0939),[新聞] 地方隱匿疫情 CNN評論：習近平領導曝,2020-01-24 23:36:49,https://www.ptt.cc/bbs/Stock/M.1579880211.A.964.html,"地方隱匿疫情 CNN評論：習近平領導曝缺失
最後更新：2020/01/24 22:32

<span class=""f3 hl"">（中央社記者江今葉華盛頓24日專電）武漢肺炎爆發初期，疫情遭官方隱匿，直到近日才</span>
<span class=""f3 hl"">逐漸透明。CNN資深製作人葛瑞菲斯撰文指出，中國地方官員擔憂觸怒北京，暴露中國國</span>
<span class=""f3 hl"">家主席習近平高度集權領導的缺失。</span>

被稱為「武漢肺炎」的2019新型冠狀病毒（2019-nCoV）肺炎全球病例突破800例，造成至
少25人死亡。儘管病例去年12月已傳出，但直到習近平20日首度表態要求「全力以赴」，
堅決遏制病毒蔓延，全力救治病患後，細節才逐漸透明。

美國有線電視新聞網（CNN）資深製作人葛瑞菲斯（James Griffiths）撰文指出，習近平
於中共黨內獲得控制權後，武漢肺炎是他在美中貿易戰、香港持續反政府動盪及台灣總統
蔡英文連任後，面對最新的挑戰。儘管習擁有龐大控制權，但也意味每次危機都在考驗領
導才能。

習近平講話後，中國確實動了起來，衛生部門下達最高等級措施，宣布武漢封城。官方媒
體社論敦促提高透明度，稱讚中央及中國科學家與醫師快速反應，並對外發布病毒基因株
，提供全球研究人員研發疫苗。

儘管如此，文章指出，有關武漢肺炎最初爆發及可能持續隱匿的指控，外界依然沒有答案
。疫情原本可以是中國一勞永逸驅逐嚴重急性呼吸道症候群（SARS）幽靈的機會，但從發
展軌跡來看，中國應對這類危機的基本缺陷仍然存在，而未來可能還有更大威脅。

發生在2003年的SARS，初期疫情遭地方政府隱匿，直到軍醫蔣彥永揭露外界才得知，但已
經大規模蔓延，世界衛生組織（WHO）宣布SARS為國際公衛緊急事件，幾個月後政府對疫
情揭露延遲道歉，時任衛生部長與北京市長也被解職以示負責。

儘管在習近平領導下，中共權力掌握更甚以往，但合法性卻更脆弱。SARS醜聞及類似的處
理不當危機，都可能對其合法性帶來毀滅性影響。習近平的集體領導也意味著，像武漢肺
炎這樣的危機將考驗他對中共與國家的控制，也考驗高度集權體制。

文章分析，中國回應武漢肺炎比SARS好得多，但這種表面勝任的危機處理背後存在更深層
問題。中國有句諺語「山高皇帝遠」，省級部門總是陽奉陰違，許多跡象顯示武漢官員對
疫情毫無警覺，延誤防治。在農曆新年春運大遷徙之際，疫情隱匿會是大災難。

習近平介入後，中國媒體開始大規模深入報導，部分報導還指控當地官員疏失。有媒體指
出，「缺乏透明度、公共監督與真相已嚴重損及公共安全」。

葛瑞菲斯分析認為，記取SARS慘痛教訓，中國中央與科學家這回的處理值得讚許，但習近
平也改變SARS後期逐步的自由化與開放，再次將權力集中在黨內，同時監控網路、媒體，
鎮壓公民社會。儘管反腐清除不少貪官，但也可能使省級官員更擔心會否觸怒北京高層。
（編輯：廖漢原）1090124

<a href=""https://www.cna.com.tw/news/acn/202001240165.aspx"" rel=""noreferrer noopener nofollow"" target=""_blank"">https://www.cna.com.tw/news/acn/202001240165.aspx</a>
<span class=""f3 hl"">習近平統治下的中國真的變差了，胡溫時代，股市還能飆到六千多點，現在呢？連一半都</span>
<span class=""f3 hl"">不到，還想幹皇帝？無能！</span>

--
<span class=""f2"">",[],1000
3,Stock,閒聊,vendan5566 (阿文),[閒聊] 2020/01/25 盤後閒聊 大年初一,2020-01-25 00:00:01,https://www.ptt.cc/bbs/Stock/M.1579881603.A.037.html,"各位有搶頭香嗎？

小心不要撞倒香爐

各位新年快樂！

--
<span class=""f2"">",[],1000
4,Stock,新聞,nightwing (內觀自心),[新聞] 武漢肺炎蔓延 美國務院發勿前往最高旅遊,2020-01-25 05:54:28,https://www.ptt.cc/bbs/Stock/M.1579902871.A.267.html,"1.原文連結：
  <a href=""https://tinyurl.com/tamsjyy"" rel=""noreferrer noopener nofollow"" target=""_blank"">https://tinyurl.com/tamsjyy</a>

2.原文內容：
  <span class=""b1 hl"">武漢肺炎蔓延 美國務院發勿前往最高旅遊警示</span>

最新更新：2020/01/25 01:37

（中央社記者江今葉華盛頓24日專電）武漢肺炎疫情持續蔓延，
美國境內也出現第2例確診病例。美國國務院領事事務局今天將
前往中國的旅遊警示升至最高級，呼籲民眾勿前往中國湖北省。

<span class=""f3 hl"">美國國務院領事事務局今天更新前往中國的旅遊警示，一口氣從</span>
<span class=""f3 hl"">原先的第2級升高到最高的第4級。</span>

美國國務院將全球旅行安全分為4級，第一級是最安全的「行使
常規預防措施」，2級是「提高警覺」，3級則建議民眾「三思而
後行」，<span class=""f6 hl"">4級是最嚴重的「請勿前往」</span>。

領事局官網表示，中國武漢發現2019新型冠狀病毒（2019-nCoV
）肺炎，為遏制新型冠狀病毒，中國當局已經暫停武漢周邊地區
空中與鐵路交通。

<span class=""f2 hl"">美國國務院已要求所有非緊急情況的美國雇員及其家屬離開，也</span>
<span class=""f2 hl"">坦言美國政府向湖北省當地美國公民能提供的緊急服務能力有限</span>
。

領事局也表示，中國當局對武漢周遭地區實施嚴格旅遊限制，前
往旅行的民眾應注意可能會遭到中國政府阻止進入或離開湖北省
部分地區，<span class=""f6 hl"">旅客應做好在幾乎沒有提前通知的情況下實施旅遊管</span>
<span class=""f6 hl"">制</span>。

美國疾病管制暨預防中心（CDC）昨天將前往中國的旅遊警戒列
為第3級，呼籲旅客非必要應避免前往武漢。

<span class=""f3 hl"">美國今天也確診第2例2019新型冠狀病毒肺炎病例。</span>患者是一名
60多歲，居住在芝加哥的婦女，她於13日自武漢返回美國後，出
現病徵並前往醫院就診。她目前仍在醫院隔離治療中，情況穩定
。CDC目前也正在監測22個州的63人，其中11人監測結果是陰性
。（編輯：徐睿承）1090125



3.心得/評論：

  美國國務院已經對前往中國旅遊警示，一口氣升至最高級，
  在隨時可能封城的狀況下，進得了中國不見得能出得來…

  <span class=""hl"">尼泊爾已出現首位確診病例，法國也首度出現兩名確診病例</span>，
  中國的最後一塊淨土，青海和西藏是否還能繼續維持零感染？

  中國的觀光業者，中央政府會不會給予相關補助呢……
  農曆年節之後的觀光概念股，會不會綠光罩頂？

--
<span class=""f2"">",[],1000
5,Stock,新聞,charles0939 (charles0939),[新聞] 首名醫護！湖北醫師疑染武漢肺炎過世,2020-01-25 10:30:29,https://www.ptt.cc/bbs/Stock/M.1579919431.A.B97.html,"首名醫護！湖北醫師疑染武漢肺炎過世

大陸中心／綜合報導

中國大陸武漢肺炎疫情持續升溫，根據陸媒報導，有一名耳鼻喉科醫師疑似感染新型冠狀
病毒肺炎，在今（25）天早上7時許不幸去世，享年62歲。

根據《澎湃新聞》報導，湖北省中西醫結合醫院（新華醫院）耳鼻喉科門診一名工作人員
透露，2020年1月16日，該院耳鼻喉科醫生梁武東疑似感染新型冠狀病毒肺炎，18日，其
轉到金銀潭醫院就診，於1月25日早上7時許不幸去世，享年62歲。

我正在用MixerBox TV看「首名醫護！湖北醫師疑染武漢肺炎過世」，快來陪我一起看！

<a href=""https://www.setn.com/news.aspx?NewsID=678443"" rel=""noreferrer noopener nofollow"" target=""_blank"">https://www.setn.com/news.aspx?NewsID=678443</a>

好好的中國新年，竟然發生了這麼多疫情，第一線人員用生命防衛病毒，高官們還在看春
晚表演？！

--
<span class=""f2"">",[],1000
6,Stock,公告,noldorelf (屏東周渝民),[公告] Luwan romenticpoet SP500StrongB 水桶,2020-01-25 11:03:54,https://www.ptt.cc/bbs/Stock/M.1579921436.A.918.html,"主旨：Luwan 違反板規4-5-1，水桶一週。
      romenticpoet 違反板規4-6-1，水桶一週。
      SP500StrongB 違反板規4-6-2，水桶一週。

說明：經板友檢舉，Luwan 推文針對特定族群謾罵，違反板規4-5-1，水桶一週。
      romenticpoet SP500StrongB 推文明顯純政治意涵，股點過低
      違反板規4-6-1及4-6-2，水桶一週。

具體事證：

<a href=""/bbs/Stock/M.1578029584.A.363.html"" rel=""noreferrer noopener nofollow"" target=""_blank"">#1U3j8GDZ</a>

推 Luwan       : 在綠畜眼中現在是二十年來經濟最好的一年，沒人在意  01/03 13:45

<a href=""/bbs/Stock/M.1577426402.A.2BB.html"" rel=""noreferrer noopener nofollow"" target=""_blank"">#1U1PtYAx</a>
<div class=""push""><span class=""hl push-tag"">推 </span><span class=""f3 hl push-userid"">romenticpoet</span><span class=""f3 push-content"">: 鴿 不負責任預測明年2020大選 蔡會贏韓差不多160萬</span><span class=""push-ipdatetime"">12/29 18:57
</span></div><div class=""push""><span class=""f1 hl push-tag"">→ </span><span class=""f3 hl push-userid"">romenticpoet</span><span class=""f3 push-content"">: 票左右 @<a class=""__cf_email__"" data-cfemail=""45330527"" href=""/cdn-cgi/l/email-protection"">[email protected]</a></span><span class=""push-ipdatetime"">12/29 18:57
",[],1000
7,Stock,公告,noldorelf (屏東周渝民),[公告] jing0607 meltdown sodabing Jerome18,2020-01-25 11:17:23,https://www.ptt.cc/bbs/Stock/M.1579922245.A.CD8.html,"主旨：jing0607 meltdown 違反板規4-6-1，水桶一週。
      sodabing 違反板規4-6-2，累進罰則水桶十年。
      Jerome18 違反板規4-5-1，累進罰則水桶一個月。

說明：經板友檢舉，jing0607 meltdown sodabing 推文明顯純政治意涵，股點過低
      違反板規4-6-1及4-6-2，其中sodabing累進罰則水桶十年，
      jing0607 meltdown水桶一週。
      Jerome18 文章中｢東南亞人來台灣不是觀光，而是打黑工，賣淫
      補助東南亞人來台灣觀光，就像是補助乞丐來台灣觀光｣明顯歧視
      ，違反板規4-5-1，累進罰則水桶一個月。

1 !   2/07 eyespot      □ [公告] sodabing 違反板規1-2-8 警告一次
2 !   3/10 eyespot      □ [公告] YAYA6655 sodabing 水桶一週
3 !   5/13 eyespot      □ [公告] sodabing robin7795 sim2347 水桶一個月

1     6/16 noldorelf    □ [公告]Jerome18 iamten 警告一次
2 !  12/15 eyespot      □ [公告] kilayun Jerome18 水桶一週

具體事證：

<a href=""/bbs/Stock/M.1577426402.A.2BB.html"" rel=""noreferrer noopener nofollow"" target=""_blank"">#1U1PtYAx</a>
<div class=""push""><span class=""f1 hl push-tag"">噓 </span><span class=""f3 hl push-userid"">jing0607    </span><span class=""f3 push-content"">: 各位好鄉民妳們好，士別三日，如三秋也，明年讓我</span><span class=""push-ipdatetime"">12/29 19:22
</span></div><div class=""push""><span class=""f1 hl push-tag"">→ </span><span class=""f3 hl push-userid"">jing0607    </span><span class=""f3 push-content"">: 們的韓導知道高雄有溫暖也有無情，讓台灣知道有個</span><span class=""push-ipdatetime"">12/29 19:22
</span></div><div class=""push""><span class=""f1 hl push-tag"">→ </span><span class=""f3 hl push-userid"">jing0607    </span><span class=""f3 push-content"">: 高雄，總是走在前面，讓世界知道有個台灣，股市走</span><span class=""push-ipdatetime"">12/29 19:22
</span></div><div class=""push""><span class=""f1 hl push-tag"">→ </span><span class=""f3 hl push-userid"">jing0607    </span><span class=""f3 push-content"">: 在前面</span><span class=""push-ipdatetime"">12/29 19:22
",[],1000
